n,m,x,time_frame_pose_x
n_value,m_value,x_value,1728168306.5399916_18_pose_z_-0.6552645564079285
n_value,m_value,x_value,1728168306.5399916_19_pose_x_0.7909266948699951
n_value,m_value,x_value,1728168306.5399916_19_pose_y_1.4523084163665771
n_value,m_value,x_value,1728168306.5399916_19_pose_z_-0.5253263711929321
n_value,m_value,x_value,1728168306.5399916_20_pose_x_0.3682630658149719
n_value,m_value,x_value,1728168306.5399916_20_pose_y_1.3966267108917236
n_value,m_value,x_value,1728168306.5399916_20_pose_z_-0.6962406635284424
n_value,m_value,x_value,1728168306.5399916_21_pose_x_0.7823611497879028
n_value,m_value,x_value,1728168306.5399916_21_pose_y_1.4195199012756348
n_value,m_value,x_value,1728168306.5399916_21_pose_z_-0.44839590787887573
n_value,m_value,x_value,1728168306.5399916_22_pose_x_0.3803989291191101
n_value,m_value,x_value,1728168306.5399916_22_pose_y_1.3672643899917603
n_value,m_value,x_value,1728168306.5399916_22_pose_z_-0.599840521812439
n_value,m_value,x_value,1728168306.5399916_23_pose_x_0.6721192598342896
n_value,m_value,x_value,1728168306.5399916_23_pose_y_1.4380992650985718
n_value,m_value,x_value,1728168306.5399916_23_pose_z_-0.03829219192266464
n_value,m_value,x_value,1728168306.5399916_24_pose_x_0.4463690221309662
n_value,m_value,x_value,1728168306.5399916_24_pose_y_1.415055751800537
n_value,m_value,x_value,1728168306.5399916_24_pose_z_0.0432964451611042
n_value,m_value,x_value,1728168306.5399916_25_pose_x_0.6378573775291443
n_value,m_value,x_value,1728168306.5399916_25_pose_y_1.8906852006912231
n_value,m_value,x_value,1728168306.5399916_25_pose_z_-0.1354803889989853
n_value,m_value,x_value,1728168306.5399916_26_pose_x_0.42837733030319214
n_value,m_value,x_value,1728168306.5399916_26_pose_y_1.8709927797317505
n_value,m_value,x_value,1728168306.5399916_26_pose_z_-0.006622559390962124
n_value,m_value,x_value,1728168306.5399916_27_pose_x_0.6158890724182129
n_value,m_value,x_value,1728168306.5399916_27_pose_y_2.2979941368103027
n_value,m_value,x_value,1728168306.5399916_27_pose_z_0.18253478407859802
n_value,m_value,x_value,1728168306.5399916_28_pose_x_0.4163687825202942
n_value,m_value,x_value,1728168306.5399916_28_pose_y_2.274937152862549
n_value,m_value,x_value,1728168306.5399916_28_pose_z_0.15487845242023468
n_value,m_value,x_value,1728168306.5399916_29_pose_x_0.6200010180473328
n_value,m_value,x_value,1728168306.5399916_29_pose_y_2.367999792098999
n_value,m_value,x_value,1728168306.5399916_29_pose_z_0.19078560173511505
n_value,m_value,x_value,1728168306.5399916_30_pose_x_0.4104657769203186
n_value,m_value,x_value,1728168306.5399916_30_pose_y_2.344738245010376
n_value,m_value,x_value,1728168306.5399916_30_pose_z_0.15632714331150055
n_value,m_value,x_value,1728168306.5399916_31_pose_x_0.5641474723815918
n_value,m_value,x_value,1728168306.5399916_31_pose_y_2.427314519882202
n_value,m_value,x_value,1728168306.5399916_31_pose_z_-0.2310192584991455
n_value,m_value,x_value,1728168306.5399916_32_pose_x_0.44030946493148804
n_value,m_value,x_value,1728168306.5399916_32_pose_y_2.4050779342651367
n_value,m_value,x_value,1728168306.5399916_32_pose_z_-0.2765581011772156
n_value,m_value,x_value,1728168306.6406295_0_pose_x_0.6079028248786926
n_value,m_value,x_value,1728168306.6406295_0_pose_y_0.6293246746063232
n_value,m_value,x_value,1728168306.6406295_0_pose_z_-0.5745603442192078
n_value,m_value,x_value,1728168306.6406295_1_pose_x_0.6316462159156799
n_value,m_value,x_value,1728168306.6406295_1_pose_y_0.5909706950187683
n_value,m_value,x_value,1728168306.6406295_1_pose_z_-0.5360907912254333
n_value,m_value,x_value,1728168306.6406295_2_pose_x_0.6443557143211365
n_value,m_value,x_value,1728168306.6406295_2_pose_y_0.5935248732566833
n_value,m_value,x_value,1728168306.6406295_2_pose_z_-0.5358997583389282
n_value,m_value,x_value,1728168306.6406295_3_pose_x_0.657075047492981
n_value,m_value,x_value,1728168306.6406295_3_pose_y_0.5967776775360107
n_value,m_value,x_value,1728168306.6406295_3_pose_z_-0.5358513593673706
n_value,m_value,x_value,1728168306.6406295_4_pose_x_0.5912997722625732
n_value,m_value,x_value,1728168306.6406295_4_pose_y_0.5865525007247925
n_value,m_value,x_value,1728168306.6406295_4_pose_z_-0.5368441939353943
n_value,m_value,x_value,1728168306.6406295_5_pose_x_0.5784388184547424
n_value,m_value,x_value,1728168306.6406295_5_pose_y_0.5862959623336792
n_value,m_value,x_value,1728168306.6406295_5_pose_z_-0.5361422300338745
n_value,m_value,x_value,1728168306.6406295_6_pose_x_0.5671296715736389
n_value,m_value,x_value,1728168306.6406295_6_pose_y_0.5865989923477173
n_value,m_value,x_value,1728168306.6406295_6_pose_z_-0.536296546459198
n_value,m_value,x_value,1728168306.6406295_7_pose_x_0.6806389689445496
n_value,m_value,x_value,1728168306.6406295_7_pose_y_0.6311646103858948
n_value,m_value,x_value,1728168306.6406295_7_pose_z_-0.29907143115997314
n_value,m_value,x_value,1728168306.6406295_8_pose_x_0.5530215501785278
n_value,m_value,x_value,1728168306.6406295_8_pose_y_0.6168349981307983
n_value,m_value,x_value,1728168306.6406295_8_pose_z_-0.27935802936553955
n_value,m_value,x_value,1728168306.6406295_9_pose_x_0.6325665712356567
n_value,m_value,x_value,1728168306.6406295_9_pose_y_0.6854097247123718
n_value,m_value,x_value,1728168306.6406295_9_pose_z_-0.4856758713722229
n_value,m_value,x_value,1728168306.6406295_10_pose_x_0.5815960764884949
n_value,m_value,x_value,1728168306.6406295_10_pose_y_0.6776015162467957
n_value,m_value,x_value,1728168306.6406295_10_pose_z_-0.48411327600479126
n_value,m_value,x_value,1728168306.6406295_11_pose_x_0.7723019123077393
n_value,m_value,x_value,1728168306.6406295_11_pose_y_0.8931824564933777
n_value,m_value,x_value,1728168306.6406295_11_pose_z_-0.18137745559215546
n_value,m_value,x_value,1728168306.6406295_12_pose_x_0.4418129026889801
n_value,m_value,x_value,1728168306.6406295_12_pose_y_0.8549222350120544
n_value,m_value,x_value,1728168306.6406295_12_pose_z_-0.20142784714698792
n_value,m_value,x_value,1728168306.6406295_13_pose_x_0.8491570353507996
n_value,m_value,x_value,1728168306.6406295_13_pose_y_1.204504132270813
n_value,m_value,x_value,1728168306.6406295_13_pose_z_-0.19373007118701935
n_value,m_value,x_value,1728168306.6406295_14_pose_x_0.33014240860939026
n_value,m_value,x_value,1728168306.6406295_14_pose_y_1.0213762521743774
n_value,m_value,x_value,1728168306.6406295_14_pose_z_-0.1991998851299286
n_value,m_value,x_value,1728168306.6406295_15_pose_x_0.8149431347846985
n_value,m_value,x_value,1728168306.6406295_15_pose_y_1.4082249402999878
n_value,m_value,x_value,1728168306.6406295_15_pose_z_-0.3779298663139343
n_value,m_value,x_value,1728168306.6406295_16_pose_x_0.3474121689796448
n_value,m_value,x_value,1728168306.6406295_16_pose_y_1.3247848749160767
n_value,m_value,x_value,1728168306.6406295_16_pose_z_-0.4941975176334381
n_value,m_value,x_value,1728168306.6406295_17_pose_x_0.8223902583122253
n_value,m_value,x_value,1728168306.6406295_17_pose_y_1.4900885820388794
n_value,m_value,x_value,1728168306.6406295_17_pose_z_-0.4427773058414459
n_value,m_value,x_value,1728168306.6406295_18_pose_x_0.32932475209236145
n_value,m_value,x_value,1728168306.6406295_18_pose_y_1.4006178379058838
n_value,m_value,x_value,1728168306.6406295_18_pose_z_-0.5739671587944031
n_value,m_value,x_value,1728168306.6406295_19_pose_x_0.7792568206787109
n_value,m_value,x_value,1728168306.6406295_19_pose_y_1.4751402139663696
n_value,m_value,x_value,1728168306.6406295_19_pose_z_-0.46496468782424927
n_value,m_value,x_value,1728168306.6406295_20_pose_x_0.3682420253753662
n_value,m_value,x_value,1728168306.6406295_20_pose_y_1.39337956905365
n_value,m_value,x_value,1728168306.6406295_20_pose_z_-0.6135636568069458
n_value,m_value,x_value,1728168306.6406295_21_pose_x_0.7710341215133667
n_value,m_value,x_value,1728168306.6406295_21_pose_y_1.4407804012298584
n_value,m_value,x_value,1728168306.6406295_21_pose_z_-0.3998669981956482
n_value,m_value,x_value,1728168306.6406295_22_pose_x_0.380391389131546
n_value,m_value,x_value,1728168306.6406295_22_pose_y_1.3645542860031128
n_value,m_value,x_value,1728168306.6406295_22_pose_z_-0.5246020555496216
n_value,m_value,x_value,1728168306.6406295_23_pose_x_0.6721006631851196
n_value,m_value,x_value,1728168306.6406295_23_pose_y_1.437284231185913
n_value,m_value,x_value,1728168306.6406295_23_pose_z_-0.03311533108353615
n_value,m_value,x_value,1728168306.6406295_24_pose_x_0.44673556089401245
n_value,m_value,x_value,1728168306.6406295_24_pose_y_1.413928508758545
n_value,m_value,x_value,1728168306.6406295_24_pose_z_0.03783540800213814
n_value,m_value,x_value,1728168306.6406295_25_pose_x_0.6365978717803955
n_value,m_value,x_value,1728168306.6406295_25_pose_y_1.8897323608398438
n_value,m_value,x_value,1728168306.6406295_25_pose_z_-0.13586243987083435
n_value,m_value,x_value,1728168306.6406295_26_pose_x_0.4280602037906647
n_value,m_value,x_value,1728168306.6406295_26_pose_y_1.8670804500579834
n_value,m_value,x_value,1728168306.6406295_26_pose_z_-0.02370530553162098
n_value,m_value,x_value,1728168306.6406295_27_pose_x_0.6124114394187927
n_value,m_value,x_value,1728168306.6406295_27_pose_y_2.2974512577056885
n_value,m_value,x_value,1728168306.6406295_27_pose_z_0.16734948754310608
n_value,m_value,x_value,1728168306.6406295_28_pose_x_0.413806676864624
n_value,m_value,x_value,1728168306.6406295_28_pose_y_2.2707619667053223
n_value,m_value,x_value,1728168306.6406295_28_pose_z_0.11546601355075836
n_value,m_value,x_value,1728168306.6406295_29_pose_x_0.6157354116439819
n_value,m_value,x_value,1728168306.6406295_29_pose_y_2.367440700531006
n_value,m_value,x_value,1728168306.6406295_29_pose_z_0.17334434390068054
n_value,m_value,x_value,1728168306.6406295_30_pose_x_0.40761661529541016
n_value,m_value,x_value,1728168306.6406295_30_pose_y_2.3408889770507812
n_value,m_value,x_value,1728168306.6406295_30_pose_z_0.1145767793059349
n_value,m_value,x_value,1728168306.6406295_31_pose_x_0.560941755771637
n_value,m_value,x_value,1728168306.6406295_31_pose_y_2.4262242317199707
n_value,m_value,x_value,1728168306.6406295_31_pose_z_-0.2398223578929901
n_value,m_value,x_value,1728168306.6406295_32_pose_x_0.43735891580581665
